Gender,Age Group,chocolate brand,frequency,products,cadbury taste,nestle taste,cadbury texture,nestle texture,cadbury packaging,nestle packaging,price preference,price range,liked feature,recommendation
Female,18-25,Cadbury,Few times a month,Cadbury Dairy Milk,4,4,4,4,Yes,Yes,Cadbury,20-40,Taste,Cadbury
Male,18-25,Cadbury,Few times a week,Cadbury Dairy Milk,5,4,5,5,Yes,Yes,Nestle,50-90,Taste,Cadbury
Female,18-25,Cadbury,Few times a week,Nestle Kitkat,4,4,5,4,Yes,Yes,Nestle,20-40,Taste,Nestle
Female,18-25,Cadbury,Rarely,Cadbury Dairy Milk,3,2,2,2,Yes,Yes,Cadbury,5-10 rs,Texture,Cadbury
Female,18-25,Cadbury,Rarely,Nestle Kitkat,4,4,3,3,Yes,Yes,Cadbury,20-40,Mood enhancement,Cadbury
Female,18-25,Cadbury,Few times a month,Cadbury Bournville,5,3,4,4,Yes,No,Cadbury,20-40,Taste,Cadbury
Female,18-25,Cadbury,Daily,Cadbury Bournville,4,3,4,3,Yes,Yes,Cadbury,20-40,Taste,Cadbury
Male,18-25,Cadbury,Daily,Cadbury Bournville,4,4,4,3,Yes,No,Cadbury,50-90,Taste,Cadbury
Male,18-25,Cadbury,Rarely,Cadbury Silk,3,2,2,2,Yes,Yes,Nestle,20-40,Taste,Cadbury
Male,18-25,Nestle,Rarely,Nestle Kitkat,3,5,4,5,Yes,Yes,Nestle,20-40,Texture,Nestle
Male,18-25,Cadbury,Few times a month,Cadbury Silk,4,3,5,5,Yes,No,Cadbury,20-40,Taste,Cadbury
Male,18-25,Cadbury,Few times a month,Cadbury Silk,4,3,4,3,Yes,Yes,Nestle,20-40,Texture,Cadbury
Male,18-25,Cadbury,Few times a month,Nestle Kitkat,4,3,4,3,Yes,Yes,Nestle,20-40,Texture,Cadbury
Male,18-25,Nestle,Rarely,Nestle Kitkat,4,5,3,4,No,Yes,Nestle,20-40,Mood enhancement,Nestle
Male,18-25,Cadbury,Rarely,Cadbury Dairy Milk,5,5,5,5,Yes,Yes,Cadbury,50-90,Taste,Cadbury
Female,18-25,Nestle,Daily,Nestle Kitkat,4,4,4,5,Yes,Yes,Nestle,5-10 rs,Texture,Nestle
Male,18-25,Cadbury,Few times a month,Cadbury Silk,5,5,5,5,Yes,Yes,Cadbury,20-40,Taste,Cadbury
Female,18-25,Cadbury,Few times a month,Cadbury Bournville,4,4,4,2,Yes,No,Cadbury,20-40,Mood enhancement,Cadbury
